absent,assist,assist_rate,attack_efficient,attack_ws,attackrebound_rate,behindrebound,block,block_rate,bottom_hand,bottom_hit,bottom_hit_rate,bottom_part_rate,close_hand,close_hit,close_hit_rate,close_part_rate,defend_efficient,defend_ws,defendrebound_rate,dunk,fault,first,foul,foul_plus_one,foul_rate,frontrebound,hand,hand1,hand3,hand_distance,hit,hit1,hit3,lose,middle_hand,middle_hit,middle_hit_rate,middle_part_rate,name,penalty,per_value,real_hit,rebound,rebound_rate,remote_hand,remote_hit,remote_hit_rate,remote_part_rate,score,season,shoot,shoot3,shoot_efficient,steal,steal_rate,team,time,use_rate,win,ws
64,4.4,22.8%,108,2.4,3.4%,4.0,0.3,0.7%,6.3,3.5,55.7%,41.1%,3.1,1.3,41.3%,20.1%,115,0.6,9.3%,8,2.3,64,1.3,26,11.9%,3.5,15.3,2.8,0.9,8.8,7.2,1.0,0.2,38,2.3,1.0,43.2%,14.9%,Derrick Rose,3.8,17.0,53.0%,87.4%,6.4%,2.7,1.2,45.7%,17.7%,18.0,16-17,47.1%,21.7%,47.7%,0.7,1.1%,纽约尼克斯,32.5,25.7%,26,3.0
66,4.7,25.5%,96,-0.8,2.4%,2.7,0.2,0.5%,4.8,2.4,51.0%,30.0%,3.3,1.4,42.3%,20.5%,110,1.2,8.8%,1,2.7,66,1.3,23,13.4%,2.2,15.9,2.7,2.3,10.7,6.8,0.7,0.7,34,2.5,1.2,47.6%,16.0%,Derrick Rose,3.4,13.4,47.9%,79.3%,5.6%,3.0,1.1,36.0%,19.1%,16.4,15-16,42.7%,29.3%,44.8%,0.7,1.1%,芝加哥公牛,31.7,27.3%,32,0.4
50,1.8,9.5%,105,3.2,7.4%,5.4,2.5,4.8%, , , , , , , , ,96,3.3,22.8%, ,2.8,50,3.2, ,14.1%,3.9,14.5,7.4,0.3, ,7.5,2.1,0.1,19, , , , ,Hakeem Olajuwon,9.6,23.1,55.9%,71.7%,15.7%, , , , ,18.9,98-99,51.4%,30.8%,51.7%,1.6,2.5%,休斯顿火箭,35.7,25.9%,31,6.5
47,3.0,15.8%,105,2.0,8.5%,4.5,2.0,4.1%, , , , , , , , ,101,2.5,24.6%, ,2.7,45,3.2, ,14.8%,3.4,13.5,7.3,0.1, ,6.5,2.5,0.0,21, , , , ,Hakeem Olajuwon,9.8,20.8,53.1%,75.5%,16.7%, , , , ,16.4,97-98,48.3%,0.0%,48.3%,1.8,2.7%,休斯顿火箭,34.7,23.7%,26,4.5
77,7.3,25.2%,113,6.2,7.1%,6.0,0.5,0.8%, , , , , , , , ,101,4.3,15.4%, ,4.0, ,2.8, ,20.9%,4.9,12.3,5.6,0.4, ,6.5,2.2,0.1, , , , , ,Magic Johnson,7.7,20.6,60.2%,81.0%,11.6%, , , , ,18.0,79-80,53.0%,22.6%,53.4%,2.4,3.1%,洛杉矶湖人,36.3,20.9%, ,10.5
75,4.9,28.2%,118,6.5,3.8%,4.7,0.3,0.8%,3.6,2.2,61.0%,30.1%,1.5,0.6,39.1%,12.2%,104,3.2,11.6%,16,2.1,22,2.1,31,12.7%,4.1,12.0,2.9,4.7,13.9,5.3,0.9,1.8,29,0.8,0.3,37.7%,6.8%,Manu Ginobili,3.8,22.5,58.4%,87.0%,7.7%,1.5,0.5,30.9%,12.2%,16.5,09-10,44.1%,37.7%,51.4%,1.4,2.5%,圣安东尼奥马刺,28.7,25.8%,46,9.7
33,9.0,41.1%,102,0.3,4.3%,2.9,0.4,0.8%, , , , , , , , ,108,0.7,8.9%, ,2.3,23,2.2, ,22.0%,2.0,9.9,3.8,3.0, ,4.2,1.0,1.2,10, , , , ,Jason Kidd,4.8,15.1,46.5%,68.8%,6.6%, , , , ,11.6,96-97,42.3%,40.0%,42.1%,2.4,3.1%,菲尼克斯太阳,35.5,17.4%,23,1.1
22,9.1,37.4%,113,2.0,3.4%,3.1,0.4,0.8%, , , , , , , , ,106,1.3,12.4%, ,3.0,22,1.9, ,17.1%,2.1,9.2,2.7,3.0, ,3.4,1.4,1.0,14, , , , ,Jason Kidd,4.1,18.0,51.9%,66.7%,7.9%, , , , ,9.9,96-97,36.9%,32.3%,48.5%,2.0,3.5%,达拉斯小牛,36.0,17.1%,8,3.3
79,2.8,12.6%,122,7.4,2.9%,3.2,0.2,0.4%,2.5,1.6,64.1%,18.8%,0.8,0.4,51.7%,5.8%,106,3.7,8.6%,3,1.7,79,2.0,23,10.4%,3.0,13.2,2.7,6.2,17.0,6.3,0.8,2.5,20,1.3,0.7,52.0%,9.6%,Ray Allen,3.5,17.3,62.4%,95.2%,5.9%,2.5,1.2,46.2%,19.1%,18.2,08-09,48.0%,40.9%,57.5%,0.9,1.3%,波士顿凯尔特人,36.4,20.8%,59,11.1
73,3.1,14.6%,116,5.6,3.6%,3.2,0.2,0.5%,2.7,1.6,60.4%,20.0%,1.1,0.4,32.9%,8.0%,103,4.1,8.3%,9,1.7,73,2.0,13,10.4%,2.9,13.5,2.6,6.2,16.7,6.0,1.0,2.5,15,1.2,0.4,33.0%,9.2%,Ray Allen,3.7,16.4,58.4%,90.7%,6.1%,2.3,1.1,50.3%,16.9%,17.4,07-08,44.5%,39.8%,53.7%,0.9,1.3%,波士顿凯尔特人,35.9,21.6%,58,9.7
